userid,pwd,email,displayName
jblvboquddzbjvd,7558388086,jblvboquddzbjvd@campus.fct.unl.pt,"jblvboquddzbjvd"
dgmypxpvxjjdtzx,1071191163946,dgmypxpvxjjdtzx@campus.fct.unl.pt,"dgmypxpvxjjdtzx"
smlkgdrbzfxvgau,5284495446,smlkgdrbzfxvgau@campus.fct.unl.pt,"smlkgdrbzfxvgau"
mgrliqekmavbtye,92824094100,mgrliqekmavbtye@campus.fct.unl.pt,"mgrliqekmavbtye"
gugnefrmmoeafwn,111629110761,gugnefrmmoeafwn@campus.fct.unl.pt,"gugnefrmmoeafwn"
jowonynplzxwawk,11795795685,jowonynplzxwawk@campus.fct.unl.pt,"jowonynplzxwawk"
mauqlrpcnpcinha,541085711164,mauqlrpcnpcinha@campus.fct.unl.pt,"mauqlrpcnpcinha"
snuontrdetvahgu,1105090104125,snuontrdetvahgu@campus.fct.unl.pt,"snuontrdetvahgu"
igwastywrcljrof,38777812291,igwastywrcljrof@campus.fct.unl.pt,"igwastywrcljrof"
mwewfycbfwmmqrt,46351068147,mwewfycbfwmmqrt@campus.fct.unl.pt,"mwewfycbfwmmqrt"
fxjfjzkcatybgrj,8612468108100,fxjfjzkcatybgrj@campus.fct.unl.pt,"fxjfjzkcatybgrj"
hzrzundktooockq,788196113122,hzrzundktooockq@campus.fct.unl.pt,"hzrzundktooockq"
truahemivmkqcpv,9710610312084,truahemivmkqcpv@campus.fct.unl.pt,"truahemivmkqcpv"
zdojritflrnfkqe,1221227111758,zdojritflrnfkqe@campus.fct.unl.pt,"zdojritflrnfkqe"
asjhplwvtuongsy,51883997112,asjhplwvtuongsy@campus.fct.unl.pt,"asjhplwvtuongsy"
dctuenmpwuzkcbv,997089107106,dctuenmpwuzkcbv@campus.fct.unl.pt,"dctuenmpwuzkcbv"
yueispjivwoeort,4746748256,yueispjivwoeort@campus.fct.unl.pt,"yueispjivwoeort"
kwegomobpknjvhj,105513911053,kwegomobpknjvhj@campus.fct.unl.pt,"kwegomobpknjvhj"
degyqvngrhrqyob,91649011846,degyqvngrhrqyob@campus.fct.unl.pt,"degyqvngrhrqyob"
qiuxejellkbftjl,334383116101,qiuxejellkbftjl@campus.fct.unl.pt,"qiuxejellkbftjl"
vtlooinkfvdvcbt,581121197534,vtlooinkfvdvcbt@campus.fct.unl.pt,"vtlooinkfvdvcbt"
fobwdbnqaaknuct,10271519577,fobwdbnqaaknuct@campus.fct.unl.pt,"fobwdbnqaaknuct"
rwlwfryspcsjxus,69861129877,rwlwfryspcsjxus@campus.fct.unl.pt,"rwlwfryspcsjxus"
xmbcidypgshuuuh,929511071104,xmbcidypgshuuuh@campus.fct.unl.pt,"xmbcidypgshuuuh"
nbsfqvpxkexgyez,67711209952,nbsfqvpxkexgyez@campus.fct.unl.pt,"nbsfqvpxkexgyez"
skasidfhmhouphr,457869117112,skasidfhmhouphr@campus.fct.unl.pt,"skasidfhmhouphr"
hiiubazyuehlxan,62495511696,hiiubazyuehlxan@campus.fct.unl.pt,"hiiubazyuehlxan"
xqxnthapolzgnur,551261218853,xqxnthapolzgnur@campus.fct.unl.pt,"xqxnthapolzgnur"
dscenolwdyklgui,92103849897,dscenolwdyklgui@campus.fct.unl.pt,"dscenolwdyklgui"
uoyvjrwqwcbnjso,7112311462105,uoyvjrwqwcbnjso@campus.fct.unl.pt,"uoyvjrwqwcbnjso"
dqnsrddnmqmmmfp,738111511073,dqnsrddnmqmmmfp@campus.fct.unl.pt,"dqnsrddnmqmmmfp"
xqvobdildxbszgo,57118789541,xqvobdildxbszgo@campus.fct.unl.pt,"xqvobdildxbszgo"
tyxvikkidmlpsxz,37416551122,tyxvikkidmlpsxz@campus.fct.unl.pt,"tyxvikkidmlpsxz"
azkyqrgxykgmven,1171143610779,azkyqrgxykgmven@campus.fct.unl.pt,"azkyqrgxykgmven"
hsldrguhvdjqrva,113651016538,hsldrguhvdjqrva@campus.fct.unl.pt,"hsldrguhvdjqrva"
cctsnjshqtaiugx,41106518692,cctsnjshqtaiugx@campus.fct.unl.pt,"cctsnjshqtaiugx"
mtnvkfjdhkmjoat,110106614553,mtnvkfjdhkmjoat@campus.fct.unl.pt,"mtnvkfjdhkmjoat"
zsyhzbldmaneleh,6374737554,zsyhzbldmaneleh@campus.fct.unl.pt,"zsyhzbldmaneleh"
imbeynvbyzcbzam,109965910142,imbeynvbyzcbzam@campus.fct.unl.pt,"imbeynvbyzcbzam"
dnccyhyatddobfo,7276468788,dnccyhyatddobfo@campus.fct.unl.pt,"dnccyhyatddobfo"
scxugmhgtwqeumw,3438413859,scxugmhgtwqeumw@campus.fct.unl.pt,"scxugmhgtwqeumw"
jkikeksvwebcfim,126706982108,jkikeksvwebcfim@campus.fct.unl.pt,"jkikeksvwebcfim"
skvsljnejyjzhnl,49871026744,skvsljnejyjzhnl@campus.fct.unl.pt,"skvsljnejyjzhnl"
vaeoheytgeqhnyf,4712012555123,vaeoheytgeqhnyf@campus.fct.unl.pt,"vaeoheytgeqhnyf"
aiftkmwacepgryw,506912547100,aiftkmwacepgryw@campus.fct.unl.pt,"aiftkmwacepgryw"
cgtcpradjsykftx,104105666170,cgtcpradjsykftx@campus.fct.unl.pt,"cgtcpradjsykftx"
oewqjwvzeardkoc,7645889549,oewqjwvzeardkoc@campus.fct.unl.pt,"oewqjwvzeardkoc"
tacenadmhegoxws,117869412038,tacenadmhegoxws@campus.fct.unl.pt,"tacenadmhegoxws"
lgvhdqussqbiedb,113531116581,lgvhdqussqbiedb@campus.fct.unl.pt,"lgvhdqussqbiedb"
wfgsmhblslqyvyu,57567212133,wfgsmhblslqyvyu@campus.fct.unl.pt,"wfgsmhblslqyvyu"
hvmmfmgfxmwmgxt,4182599371,hvmmfmgfxmwmgxt@campus.fct.unl.pt,"hvmmfmgfxmwmgxt"
mwbfcmmdnhswxsd,47126104119107,mwbfcmmdnhswxsd@campus.fct.unl.pt,"mwbfcmmdnhswxsd"
shcodaextejkpkm,54978752105,shcodaextejkpkm@campus.fct.unl.pt,"shcodaextejkpkm"
mwpirudmauuvscm,107751187950,mwpirudmauuvscm@campus.fct.unl.pt,"mwpirudmauuvscm"
rcpoaasejqcbwib,47601118475,rcpoaasejqcbwib@campus.fct.unl.pt,"rcpoaasejqcbwib"
cgurftlmdicevkb,8747956773,cgurftlmdicevkb@campus.fct.unl.pt,"cgurftlmdicevkb"
hxurpsqwonhritv,5811110872108,hxurpsqwonhritv@campus.fct.unl.pt,"hxurpsqwonhritv"
vkjgfupwudvheko,50113453554,vkjgfupwudvheko@campus.fct.unl.pt,"vkjgfupwudvheko"
fqqrncucwwgidrc,3843626188,fqqrncucwwgidrc@campus.fct.unl.pt,"fqqrncucwwgidrc"
bgooktutcomcwju,1061219710098,bgooktutcomcwju@campus.fct.unl.pt,"bgooktutcomcwju"
utrcfpwnctcsuyd,71619511254,utrcfpwnctcsuyd@campus.fct.unl.pt,"utrcfpwnctcsuyd"
kopbworathjnwvf,117881149767,kopbworathjnwvf@campus.fct.unl.pt,"kopbworathjnwvf"
krirrtrzhvmkuoh,794471124114,krirrtrzhvmkuoh@campus.fct.unl.pt,"krirrtrzhvmkuoh"
jgtukcqmctkvzmx,961076089107,jgtukcqmctkvzmx@campus.fct.unl.pt,"jgtukcqmctkvzmx"
vfayjkrdmuoyrqt,3812110811070,vfayjkrdmuoyrqt@campus.fct.unl.pt,"vfayjkrdmuoyrqt"
joqstihvmzclqhf,1151004896119,joqstihvmzclqhf@campus.fct.unl.pt,"joqstihvmzclqhf"
cfezwcyaempuedp,116843911835,cfezwcyaempuedp@campus.fct.unl.pt,"cfezwcyaempuedp"
psuinzukrrroapa,1261201188369,psuinzukrrroapa@campus.fct.unl.pt,"psuinzukrrroapa"
cjtskpofqqwnnkx,44731186584,cjtskpofqqwnnkx@campus.fct.unl.pt,"cjtskpofqqwnnkx"
faaaotzwriurmjb,45459110163,faaaotzwriurmjb@campus.fct.unl.pt,"faaaotzwriurmjb"
ugmjlphgaytnchk,60385911884,ugmjlphgaytnchk@campus.fct.unl.pt,"ugmjlphgaytnchk"
lglwfdtpknekdod,561229055106,lglwfdtpknekdod@campus.fct.unl.pt,"lglwfdtpknekdod"
npqyzbmskffkmgf,11311312076103,npqyzbmskffkmgf@campus.fct.unl.pt,"npqyzbmskffkmgf"
adbjfdbjenjhquw,1221066848108,adbjfdbjenjhquw@campus.fct.unl.pt,"adbjfdbjenjhquw"
qpfwkxocftyxujk,1061221209833,qpfwkxocftyxujk@campus.fct.unl.pt,"qpfwkxocftyxujk"
rejlahtabzsfyfg,95915911152,rejlahtabzsfyfg@campus.fct.unl.pt,"rejlahtabzsfyfg"
swwsbdtdffqeqvh,10343107105108,swwsbdtdffqeqvh@campus.fct.unl.pt,"swwsbdtdffqeqvh"
ejajzzwqofvmghl,7812552118100,ejajzzwqofvmghl@campus.fct.unl.pt,"ejajzzwqofvmghl"
wcpewwlmskpxezu,46719440118,wcpewwlmskpxezu@campus.fct.unl.pt,"wcpewwlmskpxezu"
iokkxfowpiiqtwb,1261241127979,iokkxfowpiiqtwb@campus.fct.unl.pt,"iokkxfowpiiqtwb"
qvsphnclsefrcyn,8540905648,qvsphnclsefrcyn@campus.fct.unl.pt,"qvsphnclsefrcyn"
tseencjtvzokijk,8812511012083,tseencjtvzokijk@campus.fct.unl.pt,"tseencjtvzokijk"
xwwjgcecbjrecsm,4463626073,xwwjgcecbjrecsm@campus.fct.unl.pt,"xwwjgcecbjrecsm"
vdhorlujjszyceo,6287534850,vdhorlujjszyceo@campus.fct.unl.pt,"vdhorlujjszyceo"
sptukxlxjuyphuk,104765244113,sptukxlxjuyphuk@campus.fct.unl.pt,"sptukxlxjuyphuk"
pjqvfigranjbmme,49446836120,pjqvfigranjbmme@campus.fct.unl.pt,"pjqvfigranjbmme"
uvicblgtremlldo,823911986102,uvicblgtremlldo@campus.fct.unl.pt,"uvicblgtremlldo"
dgxsysifqvukjvf,971044759109,dgxsysifqvukjvf@campus.fct.unl.pt,"dgxsysifqvukjvf"
wossvpwwixuylmb,119691123496,wossvpwwixuylmb@campus.fct.unl.pt,"wossvpwwixuylmb"
bzcgbbwxnlwszry,1231251026446,bzcgbbwxnlwszry@campus.fct.unl.pt,"bzcgbbwxnlwszry"
wygvduehnhldqnj,8810311812178,wygvduehnhldqnj@campus.fct.unl.pt,"wygvduehnhldqnj"
tkvbpstkcnpjdwm,7393805344,tkvbpstkcnpjdwm@campus.fct.unl.pt,"tkvbpstkcnpjdwm"
cxvpovmfeguedpc,4698115112118,cxvpovmfeguedpc@campus.fct.unl.pt,"cxvpovmfeguedpc"
xtorgurswvwxfge,83111887745,xtorgurswvwxfge@campus.fct.unl.pt,"xtorgurswvwxfge"
ouhjsuosxwcxeyq,78673663123,ouhjsuosxwcxeyq@campus.fct.unl.pt,"ouhjsuosxwcxeyq"
zkybtzowinjgmeq,981261137952,zkybtzowinjgmeq@campus.fct.unl.pt,"zkybtzowinjgmeq"
hwoegpxcvjqzyuf,82497071110,hwoegpxcvjqzyuf@campus.fct.unl.pt,"hwoegpxcvjqzyuf"
ttyebhaqvyslcer,626487119109,ttyebhaqvyslcer@campus.fct.unl.pt,"ttyebhaqvyslcer"
opndcdmcbbrtgqu,116521269862,opndcdmcbbrtgqu@campus.fct.unl.pt,"opndcdmcbbrtgqu"
iovkukhacpxtkll,11642709994,iovkukhacpxtkll@campus.fct.unl.pt,"iovkukhacpxtkll"
sarshyckwlkdtko,96921016560,sarshyckwlkdtko@campus.fct.unl.pt,"sarshyckwlkdtko"
oujqtcscqigslbv,631198244116,oujqtcscqigslbv@campus.fct.unl.pt,"oujqtcscqigslbv"
oziidrdpypsqzow,881231048861,oziidrdpypsqzow@campus.fct.unl.pt,"oziidrdpypsqzow"
uobpbghjoimxtra,79107883448,uobpbghjoimxtra@campus.fct.unl.pt,"uobpbghjoimxtra"
sibuctbybmwuflt,117609712087,sibuctbybmwuflt@campus.fct.unl.pt,"sibuctbybmwuflt"
nbyuxbnrlterogh,6640738887,nbyuxbnrlterogh@campus.fct.unl.pt,"nbyuxbnrlterogh"
mrrqmakcuvgpvtw,969797125124,mrrqmakcuvgpvtw@campus.fct.unl.pt,"mrrqmakcuvgpvtw"
srlesuqlmdqvpcp,86881006271,srlesuqlmdqvpcp@campus.fct.unl.pt,"srlesuqlmdqvpcp"
vwsraqopyuzqjxg,123110605687,vwsraqopyuzqjxg@campus.fct.unl.pt,"vwsraqopyuzqjxg"
ejuqbpxatuhamdg,795211412052,ejuqbpxatuhamdg@campus.fct.unl.pt,"ejuqbpxatuhamdg"
bzwiowaawonvfos,87961127463,bzwiowaawonvfos@campus.fct.unl.pt,"bzwiowaawonvfos"
bvpgedssjqonvno,345010083121,bvpgedssjqonvno@campus.fct.unl.pt,"bvpgedssjqonvno"
hmvjmuuzvwktbis,97110927883,hmvjmuuzvwktbis@campus.fct.unl.pt,"hmvjmuuzvwktbis"
ypapnsesjbqewmg,40971253440,ypapnsesjbqewmg@campus.fct.unl.pt,"ypapnsesjbqewmg"
ravaodvvpghdhnu,80641109252,ravaodvvpghdhnu@campus.fct.unl.pt,"ravaodvvpghdhnu"
zorsruxivtbauod,5942809494,zorsruxivtbauod@campus.fct.unl.pt,"zorsruxivtbauod"
taswakdxbldepsu,79388345119,taswakdxbldepsu@campus.fct.unl.pt,"taswakdxbldepsu"
womnrfyiczyavpg,99891003492,womnrfyiczyavpg@campus.fct.unl.pt,"womnrfyiczyavpg"
ezttedmurrcvhgg,82824440121,ezttedmurrcvhgg@campus.fct.unl.pt,"ezttedmurrcvhgg"
tntswfsxkphjuhq,43788512042,tntswfsxkphjuhq@campus.fct.unl.pt,"tntswfsxkphjuhq"
hjlpclbuyligchi,90347111579,hjlpclbuyligchi@campus.fct.unl.pt,"hjlpclbuyligchi"
mgdalcoxbdvxfvy,65531205177,mgdalcoxbdvxfvy@campus.fct.unl.pt,"mgdalcoxbdvxfvy"
epxadgjizmnprew,7065954179,epxadgjizmnprew@campus.fct.unl.pt,"epxadgjizmnprew"
dssfwlpmjmpidjp,11757376069,dssfwlpmjmpidjp@campus.fct.unl.pt,"dssfwlpmjmpidjp"
vaynhleqycwtind,955839124115,vaynhleqycwtind@campus.fct.unl.pt,"vaynhleqycwtind"
kwifojayangomoo,6555427053,kwifojayangomoo@campus.fct.unl.pt,"kwifojayangomoo"
yuqaauxiognsnkh,715062102109,yuqaauxiognsnkh@campus.fct.unl.pt,"yuqaauxiognsnkh"
zdjuspluadrpaks,461257087112,zdjuspluadrpaks@campus.fct.unl.pt,"zdjuspluadrpaks"
ilzurpoweuquupk,124654012237,ilzurpoweuquupk@campus.fct.unl.pt,"ilzurpoweuquupk"
gsxsrmsykflvchc,1211227210949,gsxsrmsykflvchc@campus.fct.unl.pt,"gsxsrmsykflvchc"
bxsgxgjatgmrryc,9262968962,bxsgxgjatgmrryc@campus.fct.unl.pt,"bxsgxgjatgmrryc"
erqvzbrkwozcczn,11953334499,erqvzbrkwozcczn@campus.fct.unl.pt,"erqvzbrkwozcczn"
jzqhaoxdblfrobs,11175119126100,jzqhaoxdblfrobs@campus.fct.unl.pt,"jzqhaoxdblfrobs"
cjendeqsmvfbqjh,481085210396,cjendeqsmvfbqjh@campus.fct.unl.pt,"cjendeqsmvfbqjh"
bfvxwfojblocodz,436410812658,bfvxwfojblocodz@campus.fct.unl.pt,"bfvxwfojblocodz"
rxwbydudaacxxqf,561039287121,rxwbydudaacxxqf@campus.fct.unl.pt,"rxwbydudaacxxqf"
baksbksumxareqa,92125958582,baksbksumxareqa@campus.fct.unl.pt,"baksbksumxareqa"
qnqiqkscdnrifsy,112519611541,qnqiqkscdnrifsy@campus.fct.unl.pt,"qnqiqkscdnrifsy"
rbtsylmtgirfjzl,891178161103,rbtsylmtgirfjzl@campus.fct.unl.pt,"rbtsylmtgirfjzl"
uzgdrxnjpbzucdk,1231171256335,uzgdrxnjpbzucdk@campus.fct.unl.pt,"uzgdrxnjpbzucdk"
ezwdnxacmjksupn,9650759439,ezwdnxacmjksupn@campus.fct.unl.pt,"ezwdnxacmjksupn"
